PS_i	PS_j	Sim_BP	Sim_CC	Sim_MF	Sim_GO_max
PS107250	PS123100	1.52144	0.62887	2.20868	2.20868
PS100300	PS236100	2.20814	0.59572	0.1917	2.20814
PS108800	PS613038	1.92556	0.88025	2.20756	2.20756
PS180849	PS606215	1.57279	0.82789	2.20731	2.20731
PS131100	PS173900	2.20483	0.70055	0.18063	2.20483
PS241550	PS268310	2.20287	0.51965	0.32826	2.20287
PS220400	PS249270	1.21641	1.02756	2.2007	2.2007
PS194070	PS609192	2.1993	0.56628	0.53204	2.1993
PS309800	PS609192	2.19677	0.44247	0.48095	2.19677
PS178600	PS614429	2.19575	0.57371	0.39413	2.19575
PS228520	PS231050	1.27883	2.19487	0.62196	2.19487
PS276700	PS609161	2.19366	0.61481	0.95184	2.19366
PS259900	PS600721	2.19262	1.19729	1.63467	2.19262
PS600721	PS604931	1.43304	0.65724	2.1926	2.1926
PS118100	PS268310	2.19019	0.29646	1.16073	2.19019
PS252150	PS607426	2.1884	0.44592	0.99785	2.1884
PS151100	PS268310	2.18711	0.78296	0.95195	2.18711
PS122000	PS614429	2.18649	1.19722	1.51803	2.18649
PS115150	PS145260	1.7035	0.66562	2.18637	2.18637
PS252150	PS605711	2.18629	0.47824	0.51114	2.18629
PS187300	PS241550	2.18465	0.06623	0.29063	2.18465
PS142690	PS257920	1.1463	0	2.18221	2.18221
PS208500	PS249000	1.49088	2.18098	0.35186	2.18098
PS123100	PS613038	1.83906	0.59813	2.17796	2.17796
PS145260	PS609620	2.17793	0.65602	0.53222	2.17793
PS107970	PS115210	2.17744	0.63891	0.38875	2.17744
PS115150	PS213600	2.17695	1.06685	1.64367	2.17695
PS236100	PS614429	2.17549	0.63745	1.08528	2.17549
PS218330	PS244400	1.6485	2.17495	0.30575	2.17495
PS108300	PS153840	0.94204	1.61783	2.17348	2.17348
PS153840	PS193900	0.42869	0.06389	2.1726	2.1726
PS175780	PS193900	1.13765	0.86319	2.1726	2.1726
PS122000	PS613038	1.89391	1.02872	2.17157	2.17157
PS145260	PS604772	2.1711	0.72902	0.36085	2.1711
PS185800	PS609192	2.17022	0	1.00505	2.17022
PS186500	PS609192	2.17022	0	1.00505	2.17022
PS613038	PS614429	2.16936	1.84758	2.05531	2.16936
PS115210	PS608583	2.16737	0.43015	0.21521	2.16737
PS113900	PS192600	2.16715	0.54962	0.27227	2.16715
PS153100	PS213600	2.16662	0.91573	0.16663	2.16662
PS202200	PS609161	2.16654	0.18258	0.11959	2.16654
PS600513	PS601678	1.19077	1.5379	2.16639	2.16639
PS131100	PS609192	2.16601	0.8789	0.8869	2.16601
PS100300	PS119530	2.16498	0.41861	0.2446	2.16498
PS213600	PS308230	2.16333	1.27119	0.3406	2.16333
PS168000	PS248600	1.96218	2.16216	1.47802	2.16216
PS113900	PS178600	2.16156	0.71237	0.22231	2.16156
PS115150	PS308230	2.15945	0.8336	0.67425	2.15945
PS600118	PS604364	1.42053	0.66341	2.15871	2.15871
PS260370	PS606215	1.58069	0.38809	2.15855	2.15855
PS154500	PS601675	1.98305	2.15639	0.6559	2.15639
PS115150	PS614429	2.15603	0.38799	0.36183	2.15603
PS268310	PS309800	2.15557	0.40655	0.60921	2.15557
PS108800	PS309800	2.15385	0.72122	1.22504	2.15385
PS131100	PS213600	2.15317	0.61109	1.08175	2.15317
PS312170	PS605711	2.15288	1.07072	0.15578	2.15288
PS115210	PS300000	0.60975	2.15247		2.15247
PS100300	PS194070	2.15175	0.65016	0.22255	2.15175
PS252350	PS608567	2.15026	0.42842	0.1738	2.15026
PS120435	PS308230	2.14972	0.61366	0.56364	2.14972
PS151100	PS308230	2.14945	0.53132	1.12639	2.14945
PS192600	PS606215	2.14673	0.54975	0.47125	2.14673
PS248600	PS600721	2.14409	1.60005	1.73757	2.14409
PS173900	PS192500	1.72582	1.18748	2.14336	2.14336
PS173900	PS609620	1.32971	1.1011	2.14304	2.14304
PS236670	PS610542	1.35619	0.9771	2.14286	2.14286
PS610542	PS613155	1.88805	1.02925	2.14286	2.14286
PS241550	PS608583	2.14149	0.36329	0.13892	2.14149
PS109730	PS118450	2.13966	0.06589	0.51731	2.13966
PS306955	PS614429	2.1386	0.2272	0.15578	2.1386
PS151100	PS187300	2.13859	0.30203	0.95295	2.13859
PS194070	PS606215	2.13709	0.59102	0.99226	2.13709
PS108800	PS119530	2.13651	0.83335	0.17309	2.13651
PS119530	PS173900	2.13586	0.74049	0.22689	2.13586
PS237450	PS615040	1.37301	1.28391	2.13578	2.13578
PS119530	PS606215	2.13555	0.73005	0.21925	2.13555
PS107250	PS275200	1.689	0.50502	2.13552	2.13552
PS194070	PS268310	2.13501	0.84892	0.53077	2.13501
PS121210	PS203100	0.71357	0.68757	2.13359	2.13359
PS203100	PS220400	0.83787	0.93812	2.13341	2.13341
PS167200	PS175780	1.36915	1.41134	2.13297	2.13297
PS173900	PS187300	2.13256	0.94035	0.47791	2.13256
PS211400	PS249270	1.01812	1.04028	2.13217	2.13217
PS249270	PS608567	0.62519	1.21126	2.13217	2.13217
PS151100	PS163950	2.13065	0.60378	1.03994	2.13065
PS604233	PS604772	2.13059	1.11364	0.20383	2.13059
PS109730	PS118100	2.13037	0.42601	1.09515	2.13037
PS108300	PS136760	2.1266	0.13753	0.13022	2.1266
PS113900	PS604169	2.12632	0.62263	0.2446	2.12632
PS121210	PS249270	0.98582	1.0885	2.12509	2.12509
PS249270	PS604233	0.80846	0.95901	2.12509	2.12509
PS312170	PS607765	2.1231	0.48758	1.46128	2.1231
PS114580	PS182250	2.12231	0.48038	0.22616	2.12231
PS113900	PS241550	2.12224	0.45625	0.23815	2.12224
PS115210	PS241550	2.12196	0.65378	0.37491	2.12196
PS132400	PS231050	1.02356	2.11883	0	2.11883
PS275200	PS614429	2.1177	0.8165	1.59819	2.1177
PS236100	PS613038	2.1169	0.33896	1.52298	2.1169
